numberplate,volume,size_cat
AUS 119X,3,small
UAG 448X,35,large
UAN 030N,3,small
UAN 087N,36,large
UAT 112M,5,small
UAV 418C,4,small
UCS 701,5,small
UAT 767H,10,medium
AUS 088V,65,HUGE!
UAJ 874D,36,large
UAW 274Y,4,small
UAV 754B,4,small
UAS 088V,65,HUGE!
LG 0366-01,5,small
LG 0401-01,5,small
UAA 379Z,4,small
UAL 915H,4,small
UAN 003D,37,large
UAQ 024L,5,small
UAU 939C,10,medium
UAT 598T,10,medium
UAU 189B,27,large
UAU 930D,3,small
UAQ 981Z,36,large
UAV 037R,3,small
UAP 947B,25,large
UAG 341F,10,medium
UAH 027T,37,large
UAJ 866Z,10,medium
AUS 892G,72,HUGE!
UAT 845E,4,small
UAL 487Z,6,small
UAH 706D,4,small
UAS 892G,72,HUGE!
LG 0257-01,5,small
